Study_ID,Citation,Year,Journal,Source_used,Study_type,Primary_focus,Archaic_lineage,Populations_studied,Genome_build,Introgression_definition,Phenotype_domains,Specific_traits,Extractable_loci_reported,Loci_level,Tier,Stage2_Eligible,Notes
Chen2023_Neurodegeneration_Neanderthal,"Chen, Z. et al. (2023). The contribution of Neanderthal introgression and natural selection to neurodegenerative diseases. Neurobiology of Disease, 180, 106082",2023,Neurobiology of Disease,Full text,GWAS summary statistics analysis; stratified-LDSC heritability partitioning,Introgression–phenotype association,Neanderthal,European ancestry,hg19,Posterior probability of Neanderthal admixture (LA metric),Neurological / Neurodegenerative,Alzheimer’s disease; Parkinson’s disease; Amyotrophic lateral sclerosis (ALS),Partial,Genome-wide SNP annotations / regions,Tier 1,Yes,Genome-wide analysis only; no variant-level effects; European ancestry only; negative findings
Dannemann2022_Neuropsychiatric_Behaviour,"Dannemann, M. et al. (2022). Neandertal introgression partitions the genetic landscape of neuropsychiatric disorders and associated behavioral phenotypes. Translational Psychiatry, 12, 433",2022,Translational Psychiatry,Full text,GWAS summary statistics analysis; enrichment comparison of introgressed vs frequency-matched non-archaic variants,Introgression–phenotype association,Neanderthal,UK Biobank; NESDA; Biobank Japan; Estonian Biobank; FinnGen; deCode,Not reported,"Archaic marker SNPs (aSNPs) tagging Neanderthal introgressed haplotypes defined via absence in Africans, presence in Neanderthal genomes, and long haplotypes",Psychiatric; Cognitive/Behavioural; Circadian; Addiction; Pain,Smoking behaviour; alcohol consumption; chronotype/sleep; pain; mood-related traits,Yes,SNP; haplotype; region,Tier 1,Yes,Focuses on behavioural endophenotypes rather than disease diagnosis; enrichment driven by a subset of strong-effect loci; multi-cohort replication; variant-level results exist but not exhaustive
EstellerCucala2020_ADHD_Evolution,"Esteller-Cucala, P. et al. (2020). Genomic analysis of the natural history of attention-deficit/hyperactivity disorder using Neanderthal and ancient Homo sapiens samples. Scientific Reports, 10, 8622",2020,Scientific Reports,Full text,"GWAS meta-analysis integration; ancient DNA analysis; selection inference (ABC-DL, tSDS); introgression enrichment",Evolutionary framework,Neanderthal,"Ancient Homo sapiens (Pre-Neolithic, Near East, Neolithic Europe); modern Europeans; modern Africans; Neanderthal introgressed haplotypes",hg19,Neanderthal introgressed tag SNPs; comparison of effect sizes of introgressed vs non-introgressed alleles,Neurodevelopmental; Psychiatric,Attention-deficit/hyperactivity disorder (ADHD),Partial,SNP; haplotype (tag SNPs),Tier 3,Yes,Focuses on evolutionary dynamics rather than direct phenotype association; uses ancient DNA and modelling; ADHD GWAS limited to European ancestry; variant-level results aggregated
Faux2023_SCN9A_Pain,"Faux, P. et al. (2023). Neanderthal introgression in SCN9A impacts mechanical pain sensitivity. Communications Biology, 6, 958",2023,Communications Biology,Full text,Population genetics; introgression mapping; experimental pain phenotyping (QST); association analysis,Functional validation,Neanderthal,CANDELA cohort (Latin Americans); QST cohort (Colombians); 1000 Genomes reference populations,hg19,Neanderthal introgressed haplotypes inferred via admixtureHMM and local ancestry (Vindija Neanderthal reference),Pain,Mechanical pain sensitivity; pain sensitization after mustard oil (POST_MPT),Yes,SNP; haplotype; introgressed region,Tier 2,Yes,Strong LD between variants limits separation of individual effects; effects specific to mechanical pain modality; admixed Latin American populations enable detection
Gregory2021_Schizophrenia_NeanderScore,"Gregory, M.D. et al. (2021). Neanderthal-derived genetic variation in living humans relates to schizophrenia diagnosis, to psychotic symptom severity, and to dopamine synthesis. American Journal of Medical Genetics Part B: Neuropsychiatric Genetics, 186(5), 329–338",2021,Am J Med Genet B Neuropsychiatr Genet,Full text,Case-control genetic association; quantitative symptom analysis; PET neuroimaging,Introgression–phenotype association,Neanderthal,"European-ancestry schizophrenia cases and controls (NIMH, GAIN, non-GAIN, Ashkenazi Jewish cohorts); healthy European controls for PET",Not reported,Genome-wide Neanderthal admixture quantified using NeanderScore (enhanced D-statistic),Psychiatric; Neurobiological,Schizophrenia diagnosis; positive psychotic symptoms; dopamine synthesis capacity,No,Not applicable (genome-wide score),Tier 1,Yes,Uses genome-wide admixture score rather than specific loci; modest effect sizes; mechanistic inference via dopamine PET; European ancestry only
Zeberg2020_SCN9A_Pain,"Zeberg, H. et al. (2020). A Neanderthal sodium channel increases pain sensitivity in present-day humans. Current Biology, 30, 3465–3469.e4",2020,Current Biology,Full text,Functional assay; electrophysiology; population genetics association,Functional validation,Neanderthal,Xenopus oocytes; HEK293T cells; 1000 Genomes populations; UK Biobank (British ancestry),hg19,"Archaic SNPs and haplotypes defined by absence in Africans, presence in Neanderthal genomes, LD structure, and tract length",Pain,Pain sensitivity; nociception,Yes,SNP; haplotype; coding variants,Tier 2,Yes,Strong functional evidence linking introgressed coding variants to nociceptive physiology; low allele frequency in Europeans; combines wet-lab and population data
McArthur2021_Heritability_Neanderthal,"McArthur, E., Rinker, D.C. & Capra, J.A. (2021). Quantifying the contribution of Neanderthal introgression to the heritability of complex traits. Nature Communications, 12, 4481",2021,Nature Communications,Full text,GWAS summary statistics analysis; partitioned heritability (S-LDSC); signed LD profile regression (SLDP),Introgression–phenotype association,Neanderthal,"European-ancestry GWAS (UK Biobank, FinnGen); 1000 Genomes EUR LD reference; Altai and Vindija Neanderthal genomes",hg19,Introgressed regions and variants inferred using Sprime and S*; subsets defined by Altai-matching and Vindija-matching Neanderthal alleles,Cognitive; Psychiatric; Circadian; Pain; Immune; Metabolic; Dermatological; Respiratory; Skeletal,Sunburn; skin & hair traits; autoimmune disease; chronotype; bone density; lung capacity; menopause age; schizophrenia; anorexia,Partial,Region; haplotype; SNP (genome-wide),Tier 1,Yes,"Genome-wide polygenic analysis; no single causal genes asserted; candidate regions discussed illustratively (e.g. GRB10, BNC2) without mechanistic validation; European-focused"
Reilly2022_Review_NeanderthalTraits,"Reilly, P.F. et al. (2022). The contribution of Neanderthal introgression to modern human traits. Current Biology, 32, R970–R983",2022,Current Biology,Full text,"Narrative review; synthesis of population genetics, GWAS/PheWAS, eQTL and functional studies",Evolutionary framework,Multiple,Global modern human populations; ancient hominin genomes (reviewed literature),Not applicable,"Review of published introgression maps, haplotypes, and archaic ancestry inference methods",Cognitive; Psychiatric; Circadian; Addiction; Pain; Immune; Metabolic; Pigmentation,Mood disorders; smoking; chronotype; pain sensitivity; immune response; metabolic traits; brain morphology (globularity),Partial,Region; haplotype; SNP (reported from cited studies),Tier 3,Yes,Review article; no new data; integrates multiple primary studies across phenotypes and methods
Gunz2019_EndocranialGlobularity,"Gunz, P. et al. (2019). Neandertal introgression sheds light on modern human endocranial globularity. Current Biology, 29, 120–127.e5",2019,Current Biology,Full text,GWAS; neuroimaging genetics; morphometric analysis,Introgression–phenotype association,Neanderthal,Modern humans with MRI brain imaging; comparative Neanderthal fossil endocasts,hg19,Neanderthal introgressed haplotypes identified from published introgression maps and association with modern human genomic variants,Neurodevelopmental; Cognitive,Endocranial globularity; brain shape variation,Yes,SNP; region,Tier 1,Yes,Combines fossil morphology with modern neuroimaging; focuses on brain shape rather than clinical phenotype; variant effects inferred via association not functional manipulation
Pauly2024_Autism_Neanderthal,"Pauly, R., Johnson, L., Feltus, F.A. & Casanova, E.L. (2024). Enrichment of a subset of Neanderthal polymorphisms in autistic probands and siblings. Molecular Psychiatry, 29, 3452–3461",2024,Molecular Psychiatry,Full text,Case–control enrichment analysis; whole-exome sequencing; SNP frequency and QTL analysis,Introgression–phenotype association,Neanderthal,"SPARK autistic probands and unaffected siblings (US); ethnically matched GTEx and 1000 Genomes controls (black non-Hispanic, white Hispanic, white non-Hispanic)",Not reported,Predefined Neanderthal-derived SNP set (Sankararaman et al.); enrichment of rare (<1%) and common (≥1%) variants relative to matched controls,Neurodevelopmental; Psychiatric,Autism spectrum disorder; comorbid intellectual disability; epilepsy; language regression,Yes,SNP,Tier 1,Yes,"Focuses on SNP-level enrichment rather than genome-wide ancestry; WES-based; population-specific results; gene-level discussion is associative, not mechanistic"
